Regression : FALSE
Max L : 296

TRAIN,DaeHanTwo,HyunTae,JaeIn,JinWoo,NaYoung,SongHa,SongHaTwo,TeaGyeong,TeaGyeongTwo,
TEST,DaeHan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,예상,실제,성공/실패
358.779205,354.706909,0.480366,0.614306,353.738586,0.335496,352.446106,1.550851,79.944527,345.406006,8.856064,87.287247,353.919800,344.650299,282.835114,348.466705,340.292114,276.569489,4.074197,354.751312,354.817413,4.074197,354.751312,354.817413,1.423961,346.087311,359.260315,2.580397,354.832703,5.356021,2.580397,354.832703,5.356021,1.134700,348.628998,0.048964,2.800211,353.742615,0.239157,0,0,TRUE
358.789612,354.713715,0.453492,0.618634,353.727509,0.297660,352.456512,1.526469,79.904907,345.418213,8.833019,87.278801,353.903412,344.628296,282.793396,348.357788,340.173798,276.536407,4.085725,354.755615,354.810699,4.085725,354.755615,354.810699,1.427083,346.119385,359.253601,2.564450,354.838287,5.351483,2.564450,354.838287,5.351483,1.164178,348.584808,0.043325,2.805931,353.730804,0.198959,0,0,TRUE
358.789612,354.713715,0.453492,0.618634,353.727509,0.297660,352.456512,1.526469,79.904907,345.418213,8.833019,87.278801,353.903412,344.628296,282.793396,348.357788,340.173798,276.536407,4.085725,354.755615,354.810699,4.085725,354.755615,354.810699,1.427083,346.119385,359.253601,2.564450,354.838287,5.351483,2.564450,354.838287,5.351483,1.164178,348.584808,0.043325,2.805931,353.730804,0.198959,0,0,TRUE
358.800415,354.720001,0.428474,0.624573,353.720093,0.263530,352.469696,1.502849,79.864647,345.431610,8.812568,87.268784,353.877289,344.598389,282.753204,348.257996,340.070709,276.498596,4.096913,354.759705,354.804504,4.096913,354.759705,354.804504,1.427720,346.149414,359.247192,2.548728,354.843597,5.348265,2.548728,354.843597,5.348265,1.190538,348.544891,0.039261,2.813119,353.722687,0.163786,0,0,TRUE
358.810486,354.728790,0.405958,0.630484,353.713989,0.233433,352.482697,1.480947,79.824921,345.451385,8.787261,87.254517,353.848114,344.566193,282.713989,348.172485,339.985687,276.458496,4.108114,354.766388,354.799591,4.108114,354.766388,354.799591,1.427977,346.179688,359.241913,2.531391,354.851196,5.347064,2.531391,354.851196,5.347064,1.215142,348.538513,0.039089,2.819603,353.715912,0.133500,0,0,TRUE
358.810486,354.728790,0.405958,0.630484,353.713989,0.233433,352.482697,1.480947,79.824921,345.451385,8.787261,87.254517,353.848114,344.566193,282.713989,348.172485,339.985687,276.458496,4.108114,354.766388,354.799591,4.108114,354.766388,354.799591,1.427977,346.179688,359.241913,2.531391,354.851196,5.347064,2.531391,354.851196,5.347064,1.215142,348.538513,0.039089,2.819603,353.715912,0.133500,0,0,TRUE
358.820587,354.737488,0.385096,0.638115,353.707794,0.204618,352.496887,1.457638,79.786758,345.486206,8.746716,87.234596,353.813385,344.527893,282.671997,348.097809,339.915802,276.407990,4.118597,354.773193,354.795410,4.118597,354.773193,354.795410,1.427985,346.211487,359.237701,2.514880,354.858887,5.346724,2.514880,354.858887,5.346724,1.238439,348.508606,0.038431,2.828577,353.709198,0.104046,0,0,TRUE
358.832397,354.746185,0.364181,0.648608,353.702515,0.175807,352.510590,1.435862,79.749107,345.528290,8.699395,87.213440,353.775208,344.486206,282.631104,348.040588,339.865387,276.358887,4.129044,354.779907,354.791992,4.129044,354.779907,354.791992,1.427694,346.238098,359.233887,2.499581,354.866608,5.346782,2.499581,354.866608,5.346782,1.257011,348.512512,0.039882,2.841058,353.703308,0.074728,0,0,TRUE
358.832397,354.746185,0.364181,0.648608,353.702515,0.175807,352.510590,1.435862,79.749107,345.528290,8.699395,87.213440,353.775208,344.486206,282.631104,348.040588,339.865387,276.358887,4.129044,354.779907,354.791992,4.129044,354.779907,354.791992,1.427694,346.238098,359.233887,2.499581,354.866608,5.346782,2.499581,354.866608,5.346782,1.257011,348.512512,0.039882,2.841058,353.703308,0.074728,0,0,TRUE
358.844391,354.754303,0.344242,0.659664,353.698395,0.148918,352.522705,1.417440,79.713516,345.566803,8.656837,87.194733,353.733002,344.440186,282.593811,348.002991,339.837585,276.310486,4.139025,354.786194,354.789215,4.139025,354.786194,354.789215,1.427130,346.253601,359.230011,2.485127,354.873901,5.347068,2.485127,354.873901,5.347068,1.272947,348.531403,0.042300,2.853506,353.698700,0.048146,0,0,TRUE
358.855988,354.762085,0.325785,0.669970,353.695099,0.125281,352.533813,1.401060,79.679581,345.604401,8.615890,87.176933,353.692596,344.396698,282.559509,347.977509,339.823486,276.262085,4.148732,354.792297,354.786804,4.148732,354.792297,354.786804,1.426320,346.264587,359.226501,2.472503,354.880890,5.347383,2.472503,354.880890,5.347383,1.286069,348.551605,0.044637,2.865136,353.695007,0.025634,0,0,TRUE
358.855988,354.762085,0.325785,0.669970,353.695099,0.125281,352.533813,1.401060,79.679581,345.604401,8.615890,87.176933,353.692596,344.396698,282.559509,347.977509,339.823486,276.262085,4.148732,354.792297,354.786804,4.148732,354.792297,354.786804,1.426320,346.264587,359.226501,2.472503,354.880890,5.347383,2.472503,354.880890,5.347383,1.286069,348.551605,0.044637,2.865136,353.695007,0.025634,0,0,TRUE
358.867096,354.769714,0.308487,0.679471,353.692108,0.104375,352.541595,1.388965,79.647873,345.641998,8.574810,87.161797,353.655396,344.356812,282.527191,347.961487,339.818787,276.217407,4.158704,354.798187,354.784088,4.158704,354.798187,354.784088,1.424625,346.265198,359.221985,2.461513,354.887787,5.347577,2.461513,354.887787,5.347577,1.295601,348.577515,0.046986,2.875354,353.691711,0.006593,0,0,TRUE
358.877411,354.777100,0.292613,0.687703,353.689697,0.086247,352.549103,1.377768,79.617981,345.677490,8.536496,87.147339,353.622711,344.322388,282.497711,347.951202,339.819092,276.177612,4.168371,354.804199,354.781494,4.168371,354.804199,354.781494,1.422760,346.253998,359.217010,2.450271,354.894409,5.348201,2.450271,354.894409,5.348201,1.305271,348.604492,0.049856,2.884104,353.688904,359.990814,0,0,TRUE
358.877411,354.777100,0.292613,0.687703,353.689697,0.086247,352.549103,1.377768,79.617981,345.677490,8.536496,87.147339,353.622711,344.322388,282.497711,347.951202,339.819092,276.177612,4.168371,354.804199,354.781494,4.168371,354.804199,354.781494,1.422760,346.253998,359.217010,2.450271,354.894409,5.348201,2.450271,354.894409,5.348201,1.305271,348.604492,0.049856,2.884104,353.688904,359.990814,0,0,TRUE
358.886414,354.786713,0.278270,0.694611,353.689789,0.070983,352.556793,1.369421,79.588783,345.709290,8.504508,87.134079,353.591187,344.292114,282.470306,347.946991,339.827606,276.140686,4.178530,354.812408,354.779388,4.178530,354.812408,354.779388,1.421308,346.242493,359.212189,2.439246,354.903290,5.349123,2.439246,354.903290,5.349123,1.313033,348.636688,0.053150,2.891194,353.688812,359.978210,0,0,TRUE
358.894989,354.795685,0.264896,0.701914,353.690887,0.056126,352.564087,1.362702,79.560280,345.738586,8.476060,87.121758,353.560486,344.263214,282.444794,347.946686,339.840515,276.105988,4.188526,354.820190,354.777405,4.188526,354.820190,354.777405,1.419266,346.229004,359.207489,2.429162,354.911804,5.350232,2.429162,354.911804,5.350232,1.318929,348.663086,0.056247,2.898947,353.689697,359.965088,0,0,TRUE
358.894989,354.795685,0.264896,0.701914,353.690887,0.056126,352.564087,1.362702,79.560280,345.738586,8.476060,87.121758,353.560486,344.263214,282.444794,347.946686,339.840515,276.105988,4.188526,354.820190,354.777405,4.188526,354.820190,354.777405,1.419266,346.229004,359.207489,2.429162,354.911804,5.350232,2.429162,354.911804,5.350232,1.318929,348.663086,0.056247,2.898947,353.689697,359.965088,0,0,TRUE
358.903015,354.805511,0.252235,0.708445,353.693512,0.042752,352.571503,1.357674,79.533157,345.765808,8.451437,87.110229,353.532593,344.239685,282.419495,347.947693,339.854889,276.075897,4.199325,354.828796,354.775604,4.199325,354.828796,354.775604,1.416569,346.214905,359.202698,2.420123,354.920990,5.351341,2.420123,354.920990,5.351341,1.323828,348.689789,0.059203,2.906329,353.692108,359.953705,0,0,TRUE
358.910309,354.814911,0.240549,0.714305,353.697510,0.030706,352.576599,1.356979,79.506828,345.792908,8.428009,87.100418,353.506714,344.219788,282.395386,347.950287,339.871185,276.048798,4.210445,354.837189,354.773712,4.210445,354.837189,354.773712,1.413779,346.207703,359.198212,2.411551,354.929901,5.352587,2.411551,354.929901,5.352587,1.330439,348.728790,0.062891,2.912411,353.695892,359.943695,0,0,TRUE
358.910309,354.814911,0.240549,0.714305,353.697510,0.030706,352.576599,1.356979,79.506828,345.792908,8.428009,87.100418,353.506714,344.219788,282.395386,347.950287,339.871185,276.048798,4.210445,354.837189,354.773712,4.210445,354.837189,354.773712,1.413779,346.207703,359.198212,2.411551,354.929901,5.352587,2.411551,354.929901,5.352587,1.330439,348.728790,0.062891,2.912411,353.695892,359.943695,0,0,TRUE
358.916809,354.824585,0.229873,0.719008,353.702515,0.020339,352.580414,1.359132,79.482193,345.818115,8.407553,87.090820,353.483612,344.204315,282.372589,347.954010,339.888885,276.024414,4.221419,354.845886,354.772186,4.221419,354.845886,354.772186,1.411026,346.202789,359.194214,2.403345,354.939209,5.353931,2.403345,354.939209,5.353931,1.335558,348.758301,0.066122,2.917934,353.700714,359.935303,0,0,TRUE
